state	amount	connection	totalEmployees
Acre	-2741	indirect	6946152
Acre	122	direct	6946152
Alagoas	-2159	indirect	29762910
Alagoas	254	direct	29762910
Amapá	-2309	indirect	6627534
Amapá	133	direct	6627534
Amazonas	-15300	indirect	34038822
Amazonas	439	direct	34038822
Bahia	-26070	indirect	131562282
Bahia	3701	direct	131562282
Ceará	-7390	indirect	79938576
Ceará	829	direct	79938576
Distrito Federal	-12148	indirect	71823726
Distrito Federal	227	direct	71823726
Espírito Santo	-1642	indirect	53921982
Espírito Santo	180	direct	53921982
Goiás	-6731	indirect	80248428
Goiás	270	direct	80248428
Maranhão	-3456	indirect	36731598
Maranhão	452	direct	36731598
Mato Grosso	-7333	indirect	41550690
Mato Grosso	300	direct	41550690
Mato Grosso do Sul	-1041	indirect	34900710
Mato Grosso do Sul	60	direct	34900710
Minas Gerais	-39016	indirect	292028592
Minas Gerais	3249	direct	292028592
Paraná	-39880	indirect	174765930
Paraná	3791	direct	174765930
Paraíba	-1553	indirect	36012192
Paraíba	226	direct	36012192
Pará	-7831	indirect	58618824
Pará	550	direct	58618824
Pernambuco	-33967	indirect	93733506
Pernambuco	3764	direct	93733506
Piauí	-4400	indirect	23451540
Piauí	738	direct	23451540
Rio de Janeiro	-60377	indirect	262099296
Rio de Janeiro	1506	direct	262099296
Rio Grande do Norte	-1368	indirect	35636646
Rio Grande do Norte	176	direct	35636646
Rio Grande do Sul	-18451	indirect	178970886
Rio Grande do Sul	955	direct	178970886
Rondônia	-10100	indirect	19146756
Rondônia	313	direct	19146756
Roraima	-4359	indirect	4021008
Roraima	59	direct	4021008
Santa Catarina	-10527	indirect	123386592
Santa Catarina	409	direct	123386592
Sergipe	-2137	indirect	22924698
Sergipe	340	direct	22924698
São Paulo	-75162	indirect	803599584
São Paulo	4600	direct	803599584
Tocantins	-2125	indirect	14462466
Tocantins	166	direct	14462466
